"fid","iid","pid","fws","moi"
"Luapula","PU1","Luapula",0.805521593,2
"Luapula","PU10","Luapula",0.736008394,2
"Luapula","PU11","Luapula",0.762586171,2
"Luapula","PU12","Luapula",0.565834561,2
"Luapula","PU13","Luapula",0.704389108,2
"Luapula","PU14","Luapula",0.439166806,2
"Luapula","PU15","Luapula",0.451271565,2
"Luapula","PU16","Luapula",0.670061678,2
"Northern","PU17","Northern",0.73381288,2
"Northern","PU18","Northern",0.627668794,2
"Northern","PU19","Northern",0.781912615,2
"Luapula","PU2","Luapula",0.543376091,2
"Northern","PU20","Northern",0.988300672,1
"Northern","PU22","Northern",0.759768102,2
"Northern","PU23","Northern",0.924398471,2
"Northern","PU24","Northern",0.8299904,2
"Northern","PU25","Northern",0.363925497,2
"Northern","PU26","Northern",0.591232268,2
"Northern","PU28","Northern",0.443358508,2
"Luapula","PU3","Luapula",0.830938166,2
"Luapula","PU4","Luapula",0.462312368,2
"Luapula","PU5","Luapula",0.533593595,2
"Luapula","PU6","Luapula",0.798429725,2
"Luapula","PU7","Luapula",0.806480139,2
"Luapula","PU8","Luapula",0.680311713,2
"Luapula","PU9","Luapula",0.396643651,2
"Luapula","Sample5024006","Luapula",0.54926464,2
"Luapula","Sample5024008","Luapula",0.592547362,2
"Luapula","Sample5024009","Luapula",0.748479775,2
"Luapula","Sample5024011","Luapula",0.501154524,2
"Luapula","Sample5024012","Luapula",0.808559709,2
"Luapula","Sample5024019","Luapula",0.957190104,1
"Luapula","Sample5024029","Luapula",0.910029001,2
"Luapula","Sample5024047","Luapula",0.923408309,2
"Luapula","Sample5024051","Luapula",0.346752487,2
"Luapula","Sample5024054","Luapula",0.455477546,2
"Luapula","Sample5024055","Luapula",0.39890102,2
"Luapula","Sample5024056","Luapula",0.622676791,2
"Luapula","Sample5024069","Luapula",0.507206402,2
"Luapula","Sample5024082","Luapula",0.846212463,2
"Luapula","Sample5024083","Luapula",0.557741818,2
"Luapula","Sample5024085","Luapula",0.946652137,2
"Luapula","Sample5024086","Luapula",0.323615135,2
"Luapula","Sample5024096","Luapula",0.471914803,2
"Western","Sample5024113","Western",0.771778429,2
"Western","Sample5024165","Western",0.950295494,1
"Western","Sample5024171","Western",0.393277156,2
"Western","Sample5024173","Western",0.555084083,2
"Western","Sample5024179","Western",0.980258772,1
"Luapula","Sample5024226","Luapula",0.814457072,2
"Copperbelt","Sample5024244","Copperbelt",0.994399294,1
"Luapula","Sample5024252","Luapula",0.506034246,2
"Luapula","Sample5024262","Luapula",0.925155631,2
"Luapula","Sample5024264","Luapula",0.269670246,2
"North-Western","Sample5024275","North-Western",0.899337681,2
"Northern","Sample5024310","Northern",0.994269744,1
"Northern","Sample5024360","Northern",0.987559081,1
"Northern","Sample5024364","Northern",0.529569599,2
"Eastern","Sample5024376","Eastern",0.488115689,2
"Luapula","Sample5024414","Luapula",0.603310492,2
"Luapula","Sample5024416","Luapula",0.600085249,2
"Luapula","Sample5024442","Luapula",0.593184015,2
"Western","Sample5024461","Western",0.99173738,1
"Luapula","Sample5024463","Luapula",0.638992401,2
"Western","Sample5024465","Western",0.980737306,1
"Western","Sample5024467","Western",0.916062586,2
"Western","Sample5024469","Western",0.8662261,2
"Western","Sample5024472","Western",0.85933241,2
"Western","Sample5024473","Western",0.61068716,2
"Western","Sample5024475","Western",0.393423223,2
"Western","Sample5024476","Western",0.709269567,2
"North-Western","Sample5024485","North-Western",0.569241393,2
"North-Western","Sample5024500","North-Western",0.868843523,2
"North-Western","Sample5024504","North-Western",0.979117352,1
