"","iid1","iid2","sharedLength","weight"
"114","Sample5024173","Sample5025503",205864,0.00974001672415338
"115","Sample5024012","Sample5026240",205691,0.0097318315975976
"116","Sample5024012","Sample5025122",202923,0.00960086957270517
"117","Sample5024173","Sample5024465",202084,0.00956117407455316
"118","Sample5025398","Sample5026483",201238,0.0095211473863093
"119","Sample5025747","Sample5026437",201238,0.0095211473863093
"120","PU9","Sample5026311",201119,0.00951551715474781
"121","Sample5026311","Sample5026403",200279,0.00947577434372554
"122","Sample5024054","Sample5025929",199919,0.00945874171043028
"123","Sample5024264","Sample5025089",199480,0.00943797136038412
"124","Sample5024264","Sample5026441",199480,0.00943797136038412
"125","PU17","PU19",199049,0.00941757951330007
"126","Sample5024262","Sample5026910",199049,0.00941757951330007
"127","Sample5024461","Sample5024500",199049,0.00941757951330007
"128","Sample5024461","Sample5024525",199049,0.00941757951330007
"129","Sample5024461","Sample5025548",199049,0.00941757951330007
"130","Sample5024472","Sample5024500",199049,0.00941757951330007
"131","Sample5024472","Sample5025548",199049,0.00941757951330007
"132","Sample5024525","Sample5026910",199049,0.00941757951330007
"133","Sample5024006","Sample5024704",198927,0.00941180734312779
"134","Sample5024414","Sample5026437",192327,0.00909954239938138
"135","Sample5024376","Sample5026399",191112,0.00904205726200987
"136","Sample5024376","Sample5026483",191112,0.00904205726200987
"137","Sample5024376","Sample5026916",191112,0.00904205726200987
"138","Sample5024173","Sample5025504",189286,0.0089556639609067
"139","PU11","Sample5025973",187548,0.00887343419238681
"140","PU12","Sample5024884",187548,0.00887343419238681
"141","PU28","Sample5025930",185400,0.00877180614705843
"142","PU14","Sample5025089",184231,0.0087164974017191
"143","PU16","Sample5026402",184231,0.0087164974017191
"144","Sample5024165","Sample5026032",184231,0.0087164974017191
"145","Sample5024473","Sample5025954",184231,0.0087164974017191
"146","Sample5025504","Sample5026437",184231,0.0087164974017191
"147","Sample5026773","Sample5026793",184231,0.0087164974017191
"148","Sample5026399","Sample5026916",181498,0.00858719132728593
"149","PU3","Sample5024469",180413,0.00853585686304883
"150","Sample5026437","Sample5026468",177055,0.00837698024470027
"151","Sample5025964","Sample5026142",176841,0.00836685529046365
"152","Sample5024275","Sample5026805",175560,0.00830624750365468
"153","PU11","Sample5024113",173674,0.00821701543033563
"154","PU15","Sample5024831",173566,0.00821190564034705
"155","PU15","Sample5026297",173566,0.00821190564034705
"156","Sample5024054","Sample5024264",173566,0.00821190564034705
"157","Sample5024264","Sample5025499",173566,0.00821190564034705
"158","Sample5024485","Sample5026712",173566,0.00821190564034705
"159","Sample5026316","Sample5026814",173566,0.00821190564034705
"160","Sample5024275","Sample5024376",173515,0.00820949268396356
"161","Sample5024275","Sample5026399",173515,0.00820949268396356
"162","Sample5024275","Sample5026483",173515,0.00820949268396356
"163","Sample5024275","Sample5026916",173515,0.00820949268396356
"164","Sample5026399","Sample5026483",173515,0.00820949268396356
"165","Sample5026460","Sample5026698",171262,0.00810289678725739
"166","PU3","Sample5025909",170701,0.00807635426703895
"167","PU26","Sample5024706",170372,0.00806078833272189
"168","Sample5024179","Sample5026392",170228,0.00805397527940379
"169","Sample5025504","Sample5026392",170228,0.00805397527940379
"170","Sample5026698","Sample5026735",168429,0.00796885942579776
"171","PU14","Sample5025264",168386,0.00796682497237638
"172","PU3","Sample5024536",168386,0.00796682497237638
"173","PU3","Sample5025654",168386,0.00796682497237638
"174","Sample5024469","Sample5024536",168386,0.00796682497237638
"175","Sample5024469","Sample5025654",168386,0.00796682497237638
"176","Sample5024992","Sample5026878",168386,0.00796682497237638
"177","PU2","Sample5024086",168310,0.00796322919423627
"178","Sample5024173","Sample5026460",168207,0.00795835596859902
"179","Sample5024173","Sample5026698",168207,0.00795835596859902
"180","Sample5024006","Sample5025747",167279,0.00791444962499346
"181","Sample5024173","Sample5026392",167180,0.00790976565083726
"182","Sample5024008","Sample5024262",166613,0.00788293925339723
"183","Sample5024376","Sample5024500",166467,0.0078760315743386
"184","Sample5024475","Sample5026399",166467,0.0078760315743386
"185","Sample5024475","Sample5026483",166467,0.0078760315743386
"186","Sample5024500","Sample5026916",166467,0.0078760315743386
"187","Sample5025542","Sample5025548",166467,0.0078760315743386
"188","Sample5024549","Sample5025942",166010,0.00785440959262767
"189","Sample5024165","Sample5025747",164975,0.0078054407719038
"190","PU13","Sample5024083",164813,0.00779777608692093
"191","PU14","PU26",164813,0.00779777608692093
"192","Sample5026483","Sample5026910",163311,0.00772671215578349
"193","Sample5024473","Sample5026483",162462,0.00768654352892884
"194","PU14","PU2",161795,0.00765498584446235
"195","PU14","Sample5024992",161795,0.00765498584446235
"196","PU7","Sample5024086",161795,0.00765498584446235
"197","Sample5024473","Sample5026460",161350,0.00763393161719459
"198","Sample5024473","Sample5026698",161350,0.00763393161719459
"199","Sample5024173","Sample5026483",160965,0.00761571616214272
"200","Sample5024376","Sample5026302",160965,0.00761571616214272
"201","Sample5026302","Sample5026483",160965,0.00761571616214272
"202","Sample5026302","Sample5026916",160965,0.00761571616214272
"203","Sample5024500","Sample5026483",160796,0.007607720287068
"204","Sample5024262","Sample5026437",160138,0.00757658841843389
"205","Sample5026452","Sample5026483",159618,0.00755198572589629
"206","PU28","Sample5024008",159084,0.00752672065317499
"207","PU14","Sample5025076",158869,0.0075165483860681
"208","PU14","Sample5026468",158869,0.0075165483860681
"209","PU15","Sample5024083",158869,0.0075165483860681
"210","PU15","Sample5026441",158869,0.0075165483860681
"211","Sample5026438","Sample5026441",158869,0.0075165483860681
"212","Sample5025261","Sample5025262",157821,0.00746696449803079
"213","Sample5025548","Sample5026400",157387,0.00744643071233595
"214","Sample5024461","Sample5025199",157372,0.00744572101928198
"215","Sample5024472","Sample5025199",157372,0.00744572101928198
"216","Sample5025504","Sample5026698",156780,0.00741771180008533
"217","Sample5026392","Sample5026698",156780,0.00741771180008533
"218","Sample5025398","Sample5026698",156261,0.007393156420418
"219","Sample5026399","Sample5026910",156044,0.00738288952757058
"220","Sample5024469","Sample5026133",155469,0.00735568462716843
"221","Sample5026402","Sample5026883",154566,0.00731296110531949
"222","Sample5024414","Sample5025499",154500,0.00730983845588203
"223","Sample5024485","Sample5025782",154269,0.0072989091828509
"224","PU15","Sample5025982",154182,0.00729479296313788
"225","Sample5024536","Sample5025654",154051,0.00728859497713322
"226","Sample5026441","Sample5026883",154002,0.00728627664649025
"227","Sample5026460","Sample5026735",153206,0.00724861560175962
"228","Sample5024476","Sample5026883",152629,0.00722131607561694
"229","Sample5024086","Sample5026437",151689,0.00717684197756821
"230","Sample5024054","Sample5024416",151452,0.0071656288273155
"231","Sample5024082","Sample5025922",151185,0.00715299629095485
"232","Sample5024029","Sample5024096",150956,0.00714216164366425
"233","Sample5026483","Sample5026698",150362,0.00711405779872708
"234","Sample5026483","Sample5026735",150362,0.00711405779872708
"235","PU25","Sample5024262",150197,0.00710625117513341
"236","Sample5024992","Sample5026311",150038,0.00709872842876134
"237","PU1","Sample5024818",150036,0.00709863380302081
"238","PU10","Sample5026402",150036,0.00709863380302081
"239","PU13","PU14",150036,0.00709863380302081
"240","PU13","PU15",150036,0.00709863380302081
"241","PU13","PU2",150036,0.00709863380302081
"242","PU13","Sample5024051",150036,0.00709863380302081
"243","PU13","Sample5024818",150036,0.00709863380302081
"244","PU13","Sample5025076",150036,0.00709863380302081
"245","PU13","Sample5026032",150036,0.00709863380302081
"246","PU13","Sample5026297",150036,0.00709863380302081
"247","PU13","Sample5026441",150036,0.00709863380302081
"248","PU13","Sample5026468",150036,0.00709863380302081
"249","PU14","PU15",150036,0.00709863380302081
"250","PU14","Sample5024082",150036,0.00709863380302081
"251","PU14","Sample5026302",150036,0.00709863380302081
"252","PU15","PU2",150036,0.00709863380302081
"253","PU15","Sample5024051",150036,0.00709863380302081
"254","PU15","Sample5024818",150036,0.00709863380302081
"255","PU15","Sample5025076",150036,0.00709863380302081
"256","PU15","Sample5025122",150036,0.00709863380302081
"257","PU15","Sample5026312",150036,0.00709863380302081
"258","PU15","Sample5026452",150036,0.00709863380302081
"259","PU15","Sample5026468",150036,0.00709863380302081
"260","PU15","Sample5026483",150036,0.00709863380302081
"261","PU15","Sample5026884",150036,0.00709863380302081
"262","PU2","PU5",150036,0.00709863380302081
"263","PU2","Sample5024818",150036,0.00709863380302081
"264","PU2","Sample5026438",150036,0.00709863380302081
"265","PU2","Sample5026441",150036,0.00709863380302081
"266","PU2","Sample5026468",150036,0.00709863380302081
"267","PU2","Sample5026735",150036,0.00709863380302081
"268","PU2","Sample5026883",150036,0.00709863380302081
"269","Sample5024006","Sample5024706",150036,0.00709863380302081
"270","Sample5024006","Sample5026884",150036,0.00709863380302081
"271","Sample5024008","Sample5026884",150036,0.00709863380302081
"272","Sample5024051","Sample5026297",150036,0.00709863380302081
"273","Sample5024051","Sample5026883",150036,0.00709863380302081
"274","Sample5024083","Sample5025268",150036,0.00709863380302081
"275","Sample5024083","Sample5026468",150036,0.00709863380302081
"276","Sample5024083","Sample5026884",150036,0.00709863380302081
"277","Sample5024086","Sample5024818",150036,0.00709863380302081
"278","Sample5024376","Sample5025119",150036,0.00709863380302081
"279","Sample5024469","Sample5026438",150036,0.00709863380302081
"280","Sample5024485","Sample5025942",150036,0.00709863380302081
"281","Sample5024485","Sample5026407",150036,0.00709863380302081
"282","Sample5024500","Sample5026032",150036,0.00709863380302081
"283","Sample5024818","Sample5025076",150036,0.00709863380302081
"284","Sample5024818","Sample5025542",150036,0.00709863380302081
"285","Sample5024818","Sample5026435",150036,0.00709863380302081
"286","Sample5024818","Sample5026884",150036,0.00709863380302081
"287","Sample5025076","Sample5026402",150036,0.00709863380302081
"288","Sample5025076","Sample5026403",150036,0.00709863380302081
"289","Sample5025076","Sample5026441",150036,0.00709863380302081
"290","Sample5025076","Sample5026735",150036,0.00709863380302081
"291","Sample5025076","Sample5026883",150036,0.00709863380302081
"292","Sample5025398","Sample5026443",150036,0.00709863380302081
"293","Sample5025753","Sample5026134",150036,0.00709863380302081
"294","Sample5025918","Sample5026735",150036,0.00709863380302081
"295","Sample5026031","Sample5026438",150036,0.00709863380302081
"296","Sample5026031","Sample5026735",150036,0.00709863380302081
"297","Sample5026032","Sample5026773",150036,0.00709863380302081
"298","Sample5026134","Sample5026316",150036,0.00709863380302081
"299","Sample5026134","Sample5026402",150036,0.00709863380302081
"300","Sample5026134","Sample5026814",150036,0.00709863380302081
"301","Sample5026316","Sample5026402",150036,0.00709863380302081
"302","Sample5026402","Sample5026735",150036,0.00709863380302081
"303","Sample5026438","Sample5026735",150036,0.00709863380302081
"304","Sample5026438","Sample5026884",150036,0.00709863380302081
"305","PU4","Sample5025116",149656,0.00708065491232026
"306","Sample5024461","Sample5026910",148987,0.00704900260211324
"307","Sample5026727","Sample5026773",148408,0.00702160845023003
"308","Sample5025118","Sample5025125",147926,0.00699880364676249
"309","Sample5024992","Sample5025644",147483,0.00697784404523527
"310","PU1","Sample5026134",147387,0.00697330200968987
"311","PU14","Sample5024083",147387,0.00697330200968987
"312","PU15","Sample5026403",147387,0.00697330200968987
"313","Sample5024818","Sample5026134",147387,0.00697330200968987
"314","Sample5024981","Sample5026142",147387,0.00697330200968987
"315","Sample5025076","Sample5026452",147387,0.00697330200968987
"316","Sample5025617","Sample5026134",147387,0.00697330200968987
"317","Sample5024473","Sample5025116",146349,0.0069241912503552
"318","Sample5025398","Sample5026452",146349,0.0069241912503552
"319","Sample5026452","Sample5026460",146349,0.0069241912503552
"320","Sample5026452","Sample5026698",146349,0.0069241912503552
