"fid1","iid1","fid2","iid2","m","ibd0","ibd1","ibd2"
"Luapula","PU1","Muchinga","Sample5025617",20,1,0,0
"Luapula","PU1","Muchinga","Sample5025643",20,1,0,0
"Luapula","PU1","Muchinga","Sample5025644",20,1,0,0
"Luapula","PU1","Muchinga","Sample5025654",20,1,0,0
"Luapula","PU1","Northern","Sample5025684",1.74419716339728,0.403,0.597,0
"Luapula","PU1","Western","Sample5025747",20,1,0,0
"Luapula","PU1","Muchinga","Sample5025753",20,1,0,0
"Luapula","PU1","Muchinga","Sample5025773",20,1,0,0
"Luapula","PU1","Muchinga","Sample5025776",20,1,0,0
"Luapula","PU1","Muchinga","Sample5025782",20,1,0,0
"Luapula","PU1","Muchinga","Sample5025822",20,1,0,0
"Luapula","PU1","Luapula","Sample5025909",1.52699243208383,0.306,0.694,0
"Luapula","PU1","Muchinga","Sample5025918",20,1,0,0
"Luapula","PU1","Luapula","Sample5025922",20,1,0,0
"Luapula","PU1","Luapula","Sample5025923",20,1,0,0
"Luapula","PU1","Luapula","Sample5025929",20,1,0,0
"Luapula","PU1","Luapula","Sample5025930",20,1,0,0
"Luapula","PU1","Muchinga","Sample5025941",20,1,0,0
"Luapula","PU1","Muchinga","Sample5025942",2.96578428466209,0.744,0.256,0
"Luapula","PU1","Luapula","Sample5025953",20,1,0,0
"Luapula","PU1","Luapula","Sample5025954",1.4880260182182,0.287,0.713,0
"Luapula","PU1","Luapula","Sample5025957",20,1,0,0
"Luapula","PU1","Muchinga","Sample5025958",1.96860480372447,0.489,0.511,0
"Luapula","PU1","Luapula","Sample5025964",3.37332724739401,0.807,0.193,0
"Luapula","PU1","Luapula","Sample5025967",20,1,0,0
"Luapula","PU1","Muchinga","Sample5025973",20,1,0,0
"Luapula","PU1","Muchinga","Sample5025982",20,1,0,0
"Luapula","PU1","Luapula","Sample5026031",20,1,0,0
"Luapula","PU1","Luapula","Sample5026032",1.62148837674627,0.35,0.65,0
"Luapula","PU1","Northern","Sample5026054",2.2276920250416,0.573,0.427,0
"Luapula","PU1","Luapula","Sample5026133",20,1,0,0
"Luapula","PU1","Luapula","Sample5026134",1.42856588412349,0.257,0.743,0
"Luapula","PU1","Luapula","Sample5026142",20,1,0,0
"Luapula","PU1","Luapula","Sample5026152",20,1,0,0
"Luapula","PU1","Luapula","Sample5026161",20,1,0,0
"Luapula","PU1","Luapula","Sample5026175",20,1,0,0
"Luapula","PU1","Eastern","Sample5026206",20,1,0,0
"Luapula","PU1","Luapula","Sample5026240",2.96578428466209,0.744,0.256,0
"Luapula","PU1","Northern","Sample5026244",20,1,0,0
"Luapula","PU1","Luapula","Sample5026290",20,1,0,0
"Luapula","PU1","Luapula","Sample5026293",20,1,0,0
"Luapula","PU1","Luapula","Sample5026297",1.92686529536978,0.474,0.526,0
"Luapula","PU1","Luapula","Sample5026301",20,1,0,0
"Luapula","PU1","Luapula","Sample5026302",20,1,0,0
"Luapula","PU1","Luapula","Sample5026309",20,1,0,0
"Luapula","PU1","Luapula","Sample5026311",1.5756153284619,0.329,0.671,0
"Luapula","PU1","Luapula","Sample5026312",20,1,0,0
"Luapula","PU1","Eastern","Sample5026316",2.95455702923883,0.742,0.258,0
"Luapula","PU1","Copperbelt","Sample5026338",20,1,0,0
"Luapula","PU1","Luapula","Sample5026350",20,1,0,0
"Luapula","PU1","Western","Sample5026378",20,1,0,0
"Luapula","PU1","Western","Sample5026392",20,1,0,0
"Luapula","PU1","Western","Sample5026399",20,1,0,0
"Luapula","PU1","Western","Sample5026400",20,1,0,0
"Luapula","PU1","Luapula","Sample5026402",4.97727992349992,0.878,0.118,0.004
"Luapula","PU1","Luapula","Sample5026403",20,1,0,0
"Luapula","PU1","Luapula","Sample5026407",20,1,0,0
"Luapula","PU1","Luapula","Sample5026409",20,1,0,0
"Luapula","PU1","Luapula","Sample5026416",20,1,0,0
"Luapula","PU1","Luapula","Sample5026421",20,1,0,0
"Luapula","PU1","Luapula","Sample5026433",2.19429481516149,0.563,0.437,0
"Luapula","PU1","Luapula","Sample5026435",20,1,0,0
"Luapula","PU1","Luapula","Sample5026437",1.8059129478837,0.428,0.572,0
"Luapula","PU1","Luapula","Sample5026438",1.69198868544782,0.381,0.619,0
"Luapula","PU1","Luapula","Sample5026441",2.32192809488736,0.6,0.4,0
"Luapula","PU1","Luapula","Sample5026443",3.31473259348316,0.799,0.201,0
"Luapula","PU1","Luapula","Sample5026450",20,1,0,0
"Luapula","PU1","Luapula","Sample5026452",20,1,0,0
"Luapula","PU1","Luapula","Sample5026460",20,1,0,0
"Luapula","PU1","Luapula","Sample5026468",4.1197392442741,0.787,0.2,0.013
"Luapula","PU1","Luapula","Sample5026480",20,1,0,0
"Luapula","PU1","Western","Sample5026483",20,1,0,0
"Luapula","PU1","Northern","Sample5026578",1.71548586675575,0.391,0.609,0
"Luapula","PU1","Northern","Sample5026584",20,1,0,0
"Luapula","PU1","Northern","Sample5026588",1.35475948735473,0.218,0.782,0
"Luapula","PU1","Northern","Sample5026596",20,1,0,0
"Luapula","PU1","Copperbelt","Sample5026610",20,1,0,0
"Luapula","PU1","Copperbelt","Sample5026616",20,1,0,0
"Luapula","PU1","Copperbelt","Sample5026698",20,1,0,0
"Luapula","PU1","North-Western","Sample5026712",4.24792751344358,0.802,0.187,0.011
"Luapula","PU1","Copperbelt","Sample5026718",20,1,0,0
"Luapula","PU1","North-Western","Sample5026727",20,1,0,0
"Luapula","PU1","North-Western","Sample5026729",20,1,0,0
"Luapula","PU1","North-Western","Sample5026735",20,1,0,0
"Luapula","PU1","Copperbelt","Sample5026742",20,1,0,0
"Luapula","PU1","Copperbelt","Sample5026760",20,1,0,0
"Luapula","PU1","Copperbelt","Sample5026771",20,1,0,0
"Luapula","PU1","North-Western","Sample5026773",2.06190243892591,0.521,0.479,0
"Luapula","PU1","Copperbelt","Sample5026793",20,1,0,0
"Luapula","PU1","Copperbelt","Sample5026805",20,1,0,0
"Luapula","PU1","Copperbelt","Sample5026814",1.98850436116217,0.496,0.504,0
